,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
C14H9O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1085388624716,29.1085388624716,29.1085388624716,29.1085388624716,29.1085388624716,29.1085388624716,29.1085388624716,29.1085388624716
C15H11O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.253795157761,33.253795157761,33.253795157761,33.253795157761,33.253795157761,33.253795157761,33.253795157761
C16H13O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8178176028376,13.8178176028376,13.8178176028376,13.8178176028376,13.8178176028376,13.8178176028376,13.8178176028376,13.8178176028376
C18H13O3N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0757839911497,26.0757839911497,26.0757839911497,26.0757839911497,26.0757839911497,26.0757839911497,26.0757839911497,26.0757839911497
C16H13O3N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2115113999381,28.2115113999381,28.2115113999381,NA,28.2115113999381,28.2115113999381,28.2115113999381,28.2115113999381
C17H13O3N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3413802332596,16.3413802332596,16.3413802332596,16.3413802332596,16.3413802332596,16.3413802332596,16.3413802332596,16.3413802332596
C16H13O2N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8581743337063,18.8581743337063,18.8581743337063,18.8581743337063,18.8581743337063,18.8581743337063,18.8581743337063,18.8581743337063
C30H42O12,3.76292180302016,3.76292180302016,3.76292180302016,NA,3.76292180302016,3.76292180302016,3.76292180302016,3.76292180302016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H38O11,11.3384027884607,11.3384027884607,NA,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,NA,11.3384027884607,11.3384027884607,NA,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,11.3384027884607,NA,NA
C28H32O14,NA,2.75237130689093,NA,2.75237130689093,2.75237130689093,2.75237130689093,2.75237130689093,2.75237130689093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H34O14,NA,2.22353337626113,NA,2.22353337626113,2.22353337626113,2.22353337626113,2.22353337626113,2.22353337626113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H32O14,NA,NA,NA,5.61373494032462,5.61373494032462,5.61373494032462,5.61373494032462,5.61373494032462,5.61373494032462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H32O15,NA,3.8669619861381,3.8669619861381,3.8669619861381,3.8669619861381,3.8669619861381,3.8669619861381,3.8669619861381,3.8669619861381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H30O12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98622027576359,3.98622027576359,NA,3.98622027576359,3.98622027576359,3.98622027576359,3.98622027576359,3.98622027576359,NA,NA,NA,NA,NA,NA,NA,NA
C28H30O13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41181625795147,1.41181625795147,NA,1.41181625795147,1.41181625795147,1.41181625795147,1.41181625795147,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H32O12,NA,4.21535949670725,NA,4.21535949670725,4.21535949670725,4.21535949670725,4.21535949670725,4.21535949670725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H32O13,NA,9.67276516710591,NA,9.67276516710591,9.67276516710591,9.67276516710591,9.67276516710591,9.67276516710591,NA,9.67276516710591,9.67276516710591,NA,9.67276516710591,9.67276516710591,9.67276516710591,9.67276516710591,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H36O14,0.955819201971921,0.955819201971921,0.955819201971921,0.955819201971921,0.955819201971921,0.955819201971921,0.955819201971921,0.955819201971921,0.955819201971921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H34O14,1.63735479369651,1.63735479369651,NA,1.63735479369651,1.63735479369651,1.63735479369651,1.63735479369651,1.63735479369651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H36O14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08163678663247,NA,2.08163678663247,2.08163678663247,2.08163678663247,2.08163678663247,2.08163678663247,NA,NA,NA,NA,NA,NA,NA,NA
C28H34O15,NA,1.23932876429648,NA,1.23932876429648,1.23932876429648,1.23932876429648,1.23932876429648,1.23932876429648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H38O14,NA,2.28406039294197,NA,NA,2.28406039294197,2.28406039294197,2.28406039294197,2.28406039294197,2.28406039294197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H36O12,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,NA,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,NA,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955,11.2862617376955
C28H36O13,0.549266438556399,0.549266438556399,0.549266438556399,NA,0.549266438556399,0.549266438556399,0.549266438556399,0.549266438556399,0.549266438556399,NA,NA,NA,NA,NA,NA,NA,NA,0.549266438556399,0.549266438556399,0.549266438556399,0.549266438556399,0.549266438556399,0.549266438556399,0.549266438556399,NA
C29H36O12,NA,3.71407625714907,3.71407625714907,NA,3.71407625714907,3.71407625714907,3.71407625714907,3.71407625714907,NA,3.71407625714907,3.71407625714907,NA,3.71407625714907,3.71407625714907,3.71407625714907,3.71407625714907,NA,3.71407625714907,3.71407625714907,3.71407625714907,3.71407625714907,3.71407625714907,3.71407625714907,3.71407625714907,NA
C28H34O13,NA,5.37711897975256,NA,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,NA,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,NA,5.37711897975256,NA,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256,5.37711897975256
C29H36O13,0.809162146480573,0.809162146480573,NA,NA,0.809162146480573,0.809162146480573,0.809162146480573,0.809162146480573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809162146480573,0.809162146480573,0.809162146480573,0.809162146480573,0.809162146480573,0.809162146480573,NA,0.809162146480573
C29H40O12,NA,2.74012973146314,2.74012973146314,2.74012973146314,2.74012973146314,2.74012973146314,2.74012973146314,2.74012973146314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
