,s20230217001,s20230217002,s20230217003,s20230217004,s20230217005,s20230217006,s20230217023,s20230217024,s20230217025,s20230217026,s20230217027,s20230217028,s20230217029,s20230217030,s20230217038,s20230217039,s20230217040,s20230217041,s20230217042,s20230217043,s20230217044,s20230217045,s20230217062,s20230217063,s20230217064,s20230217065,s20230217066,s20230217067,s20230217068,s20230217069,s20230217077,s20230217078,s20230217079,s20230217080,s20230217081,s20230217082,s20230217083,s20230217084,s20230217085,s20230217086,s20230217104,s20230217105,s20230217106,s20230217107,s20230217108,s20230217109,s20230217110,s20230217111
C23H22O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8661771537466,NA,NA,NA,NA,9.8661771537466,NA,NA
C22H20O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4605358402065,NA,15.4605358402065,NA,NA,NA,NA,15.4605358402065,15.4605358402065,NA,NA,NA,NA,15.4605358402065,NA,NA
C24H20O7P2,18.4909078461688,18.4909078461688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23H18O6P2,NA,NA,NA,NA,NA,NA,NA,20.5663821127756,NA,20.5663821127756,NA,20.5663821127756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H30O3P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4165891624156,NA,34.4165891624156,34.4165891624156,34.4165891624156,NA,34.4165891624156
C14H22O9N2P2,23.4928814639255,23.4928814639255,NA,NA,23.4928814639255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4928814639255,23.4928814639255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13H7O12N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6138746221145,NA,NA,NA,NA,NA,NA,NA
C24H15O8N2P1,NA,NA,22.4517513224125,22.4517513224125,NA,22.4517513224125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H17O8N2P1,NA,NA,NA,NA,NA,NA,NA,16.978455344968,NA,16.978455344968,NA,16.978455344968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23H15O7N2P1,NA,NA,16.2125719899534,16.2125719899534,NA,16.2125719899534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6883076039996,NA,11.6883076039996,NA,11.6883076039996,11.6883076039996,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20H11O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6540269166657,NA,NA,22.6540269166657,22.6540269166657,22.6540269166657,NA,NA,NA,NA,NA,NA,NA,NA,NA
C17H7O4N2P1,NA,NA,14.73506185805,14.73506185805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.73506185805,14.73506185805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49117696178282,NA,5.49117696178282,5.49117696178282,5.49117696178282,5.49117696178282,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19H11O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05729056383039,NA,9.05729056383039,9.05729056383039,9.05729056383039,9.05729056383039,NA,9.05729056383039,NA,NA,NA,NA,NA,NA,NA
C18H11O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4813978156476,16.4813978156476,16.4813978156476,16.4813978156476,16.4813978156476,16.4813978156476,16.4813978156476,16.4813978156476,NA,NA,NA,NA,NA,NA,NA,NA
C17H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2475458693872,NA,10.2475458693872,10.2475458693872,NA,10.2475458693872,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19H9O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1181474343968,12.1181474343968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H11O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9338395985734,24.9338395985734,NA,NA,NA,NA,NA,NA,NA,NA,24.9338395985734,NA,NA,NA,NA,NA,NA,NA
C21H13O7N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9397587138643,23.9397587138643,23.9397587138643,23.9397587138643,23.9397587138643,23.9397587138643,23.9397587138643,23.9397587138643,NA,NA,NA,NA,NA,NA,NA,NA
C21H13O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3176492796956,NA,NA,23.3176492796956,23.3176492796956,23.3176492796956,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20H13O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8819160703999,NA,NA,17.8819160703999,NA,17.8819160703999,NA,17.8819160703999,NA,NA,NA,NA,NA,NA,NA
C20H13O7N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9944037175364,NA,NA,10.9944037175364,10.9944037175364,10.9944037175364,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22H13O7N2P1,NA,NA,6.12856516452079,6.12856516452079,NA,6.12856516452079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13H9O1N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24213391087497,NA,NA
C14H11O1N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04124720954418,NA,NA
C12H7O1N2P1,12.2897163648205,12.2897163648205,NA,NA,12.2897163648205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2897163648205,NA,NA
C13H7O1N2P1,NA,NA,6.59018273228196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59018273228196,6.59018273228196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59018273228196,NA,NA
